ideal_clk_ps,ideal_clk_us,div_out_raw_ps,div_out_raw_us,div_out_dtc_ps,div_out_dtc_us,comp_3rd,sum_eo1,sum_eo2
142355000,142.355,142084100,142.084,142110630,142.111,256,0,0
143157000,143.157,142892100,142.892,142912630,142.913,-512,256,0
143959000,143.959,143692100,143.692,143714630,143.715,768,-256,256
144761000,144.761,144516100,144.516,144532630,144.533,-1024,512,0
145563000,145.563,145292100,145.292,145318630,145.319,1280,-512,512
146365000,146.365,146108100,146.108,146120630,146.121,-1536,768,0
147167000,147.167,146900100,146.900,146930630,146.931,768,-768,768
147969000,147.969,147724100,147.724,147732630,147.733,0,0,0
148771000,148.771,148500100,148.500,148526630,148.527,256,0,0
149573000,149.573,149308100,149.308,149328630,149.329,-512,256,0
150375000,150.375,150108100,150.108,150130630,150.131,768,-256,256
151177000,151.177,150932100,150.932,150948630,150.949,-1024,512,0
151979000,151.979,151708100,151.708,151734630,151.735,1280,-512,512
152781000,152.781,152524100,152.524,152536630,152.537,-1536,768,0
153583000,153.583,153316100,153.316,153346630,153.347,768,-768,768
154385000,154.385,154140100,154.140,154148630,154.149,0,0,0
155187000,155.187,154916100,154.916,154942630,154.943,256,0,0
155989000,155.989,155724100,155.724,155744630,155.745,-512,256,0
156791000,156.791,156524100,156.524,156546630,156.547,768,-256,256
157593000,157.593,157348100,157.348,157364630,157.365,-1024,512,0
158395000,158.395,158124100,158.124,158150630,158.151,1280,-512,512
159197000,159.197,158940100,158.940,158952630,158.953,-1536,768,0
159999000,159.999,159732100,159.732,159762630,159.763,768,-768,768
160801000,160.801,160556100,160.556,160564630,160.565,0,0,0
161603000,161.603,162148100,162.148,162174630,162.175,0,0,0
162405000,162.405,162948100,162.948,162968630,162.969,0,0,0
163207000,163.207,163748100,163.748,163768630,163.769,0,0,0
164009000,164.009,164548100,164.548,164568630,164.569,0,0,0
164811000,164.811,165348100,165.348,165368630,165.369,256,0,0
165613000,165.613,166148100,166.148,166168630,166.169,-512,256,0
166415000,166.415,166948100,166.948,166970630,166.971,768,-256,256
167217000,167.217,167772100,167.772,167788630,167.789,-1024,512,0
168019000,168.019,168548100,168.548,168574630,168.575,1280,-512,512
168821000,168.821,169364100,169.364,169376630,169.377,-1536,768,0
169623000,169.623,170156100,170.156,170186630,170.187,768,-768,768
170425000,170.425,170980100,170.980,170988630,170.989,0,0,0
171227000,171.227,171756100,171.756,171782630,171.783,256,0,0
172029000,172.029,172564100,172.564,172584630,172.585,-512,256,0
172831000,172.831,173364100,173.364,173386630,173.387,768,-256,256
173633000,173.633,174188100,174.188,174204630,174.205,-1024,512,0
174435000,174.435,174964100,174.964,174990630,174.991,1280,-512,512
